category,share_percent,includes,notes
Substructure and foundation,18,"site preparation, excavation, footings, foundation concrete, damp-proofing","Indicative allocation from total configured construction estimate; verify with BOQ."
Structure and masonry,24,"columns, beams, slabs, block or brick walls, lintels","Indicative allocation from total configured construction estimate; structural design can materially change cost."
Roofing and waterproofing,9,"roof frame or slab waterproofing, roofing sheets or tiles, gutters","Indicative allocation; roof type and waterproofing specification can vary."
Doors windows and glazing,8,"external doors, internal doors, windows, glazing, ironmongery","Indicative allocation; aluminium/timber choice affects cost."
Electrical installation,7,"wiring, switches, lights, distribution board, earthing","Indicative allocation; excludes premium smart-home systems unless included in project scope."
Plumbing and sanitary,8,"water supply, drainage, sanitary fittings, bathroom fixtures","Indicative allocation; fixture brand and water systems affect cost."
Floor wall and ceiling finishes,14,"floor tiles, wall finishes, ceiling, plaster, paint","Indicative allocation; finish level has high cost sensitivity."
Kitchen pantry and built-ins,5,"basic pantry, counters, cabinets, selected built-ins","Indicative allocation; excludes loose furniture."
External works and services,4,"basic driveway tie-in, drainage, utility connection allowance","Indicative allocation; excludes major landscaping and authority fees."
Contractor preliminaries and supervision,3,"site overheads, supervision, temporary works, small tools","Indicative allocation; contractor quotations may itemize differently."
